date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:49	14881/14881	---MCZ	200	added ('OK')	text/html	etag:W/%2264138fa2-3a21%22	https://qantaradigital.com/collaborators/morgane-roth.html	C:/My%20Web%20Sites/2peco/qantaradigital.com/collaborators/morgane-roth.html	(from https://qantaradigital.com/team.html)
14:22:55	1583034/1583034	---M--	200	added ('OK')	image/jpeg	etag:%2264138fa6-1827ba%22	https://qantaradigital.com/images/jerome.jpg	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/jerome.jpg	(from https://qantaradigital.com/team.html)
14:22:56	15127/15127	---MCZ	200	added ('OK')	text/html	etag:W/%2264138fa2-3b17%22	https://qantaradigital.com/collaborators/alexis-kignelman.html	C:/My%20Web%20Sites/2peco/qantaradigital.com/collaborators/alexis-kignelman.html	(from https://qantaradigital.com/team.html)
14:22:56	2375714/2375714	---M--	200	added ('OK')	image/jpeg	etag:%2264138fa6-244022%22	https://qantaradigital.com/images/morganecrop.jpg	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/morganecrop.jpg	(from https://qantaradigital.com/team.html)
14:22:57	145597/145597	---M--	200	added ('OK')	image/jpeg	etag:%2264138fa3-238bd%22	https://qantaradigital.com/images/aurelien.jpg	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/aurelien.jpg	(from https://qantaradigital.com/team.html)
14:22:58	14768/14768	---MCZ	200	added ('OK')	text/html	etag:W/%2264138fa2-39b0%22	https://qantaradigital.com/collaborators/aurelien-cunin.html	C:/My%20Web%20Sites/2peco/qantaradigital.com/collaborators/aurelien-cunin.html	(from https://qantaradigital.com/team.html)
14:22:58	1688157/1688157	---M--	200	added ('OK')	image/jpeg	etag:%2264138fa3-19c25d%22	https://qantaradigital.com/images/alexis.jpg	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/alexis.jpg	(from https://qantaradigital.com/team.html)
14:22:58	14676/14676	---MCZ	200	added ('OK')	text/html	etag:W/%2264138fa2-3954%22	https://qantaradigital.com/collaborators/juliette-philipon.html	C:/My%20Web%20Sites/2peco/qantaradigital.com/collaborators/juliette-philipon.html	(from https://qantaradigital.com/team.html)
14:22:58	14767/14767	---MCZ	200	added ('OK')	text/html	etag:W/%226422717d-39af%22	https://qantaradigital.com/collaborators/isabelle-bousomog.html	C:/My%20Web%20Sites/2peco/qantaradigital.com/collaborators/isabelle-bousomog.html	(from https://qantaradigital.com/team.html)
14:22:59	180378/180378	---M--	200	added ('OK')	image/jpeg	etag:%2264138fa4-2c09a%22	https://qantaradigital.com/images/Isabelle.jpg	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/Isabelle.jpg	(from https://qantaradigital.com/team.html)
